_ID	KIND	SPEAKER	MATCH	SPATIAL	CATEGORY	COUNT
97	NF	P	bright	0	adjective	2
97	NF	P	can	0	question	4
97	NF	P	circle	1	shapes	2
97	NF	P	could	0	question	6
97	NF	P	do	0	question	2
97	NF	P	does	0	question	1
97	NF	P	down	1	location and directions	5
97	NF	P	empty	1	spatial dimension	1
97	NF	P	far	1	location and directions	1
97	NF	P	flat	1	spatial features and properties	1
97	NF	P	full	1	spatial dimension	1
